iri,label,domain,obo_id
http://purl.allotrope.org/ontologies/result#AFR_0002036,concentration,result,AFO_result#AFR:0002036
http://purl.allotrope.org/ontologies/result#AFR_0002037,expiry time prescription,result,AFO_result#AFR:0002037
http://purl.allotrope.org/ontologies/result#AFR_0002038,electronic record,result,AFO_result#AFR:0002038
http://purl.allotrope.org/ontologies/result#AFR_0002039,database record,result,AFO_result#AFR:0002039
http://purl.allotrope.org/ontologies/result#AFR_0002040,database,result,AFO_result#AFR:0002040
http://purl.allotrope.org/ontologies/result#AFR_0002041,database primary key,result,AFO_result#AFR:0002041
http://purl.allotrope.org/ontologies/result#AFR_0002045,device acquisition method,result,AFO_result#AFR:0002045
http://purl.allotrope.org/ontologies/result#AFR_0002046,equivalence point volume,result,AFO_result#AFR:0002046
http://purl.allotrope.org/ontologies/result#AFR_0002048,dead cell count,result,AFO_result#AFR:0002048
http://purl.allotrope.org/ontologies/result#AFR_0002050,elapsed time,result,AFO_result#AFR:0002050
