source_page,edge_type,target_url,pillar,anchor
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/SimpliAmp/v1.7.0/SimpliAmp-firmware-170-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/SimpliAmp/v1.6.2/SimpliAmp-firmware-162-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/SimpliAmp/v1.6.1/SimpliAmp-firmware-161-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.4.0/SimpliAmp-1.4.0.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.4.0/SimpliAmp-firmware-140-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.3.4/SimpliAmp-1.3.4.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.3.4/SimpliAmp-firmware-134-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.3.2/SimpliAmp-1.3.2.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.3.2/SimpliAmp-firmware-132-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.2.1/SimpliAmp-1.2.1.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.2.1/SimpliAmp-firmware-121-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.2.0/SimpliAmp-1.2.0.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.2.0/SimpliAmp-firmware-120-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.0.6/SimpliAmp-1.0.6.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.0.6/SimpliAmp-firmware-106-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://downloads.thermofisher.com/firmware/SimpliAmp-1.0.5/SimpliAmp-1.0.5.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/quantstudio-3d-analysissuite-local-appliance-software.html,runs,https://www.thermofisher.com/content/lifetech/ipac-other/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/quantstudio-3d-analysissuite-local-appliance-software.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
